variable_group,variable_name,country,operator_name,segment,technology_name,primary_energy_carrier,secondary_energy_carrier,saf_pathway,unit,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,scenario_id
availability,infrastructure_availability,Germany,,long,hydrogen_freight_long,,,,flag,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,
availability,infrastructure_availability,France,,long,hydrogen_freight_long,,,,flag,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,
availability,saf_availability,Germany,,medium,drop_in_saf_freight_medium,,saf,hefa,flag,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
availability,saf_availability,France,,medium,drop_in_saf_freight_medium,,saf,hefa,flag,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
availability,saf_availability,Germany,,long,drop_in_saf_freight_long,,saf,hefa,flag,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
availability,saf_availability,France,,long,drop_in_saf_freight_long,,saf,hefa,flag,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
demand,freight_tonne_km_demand,Germany,,medium,,,,,tkm_per_year,820000000.0,835000000.0,850000000.0,870000000.0,890000000.0,910000000.0,930000000.0,950000000.0,970000000.0,990000000.0,1010000000.0,
demand,freight_tonne_km_demand,Germany,,long,,,,,tkm_per_year,1950000000.0,1990000000.0,2030000000.0,2080000000.0,2130000000.0,2180000000.0,2230000000.0,2280000000.0,2330000000.0,2380000000.0,2430000000.0,
demand,freight_tonne_km_demand,France,,medium,,,,,tkm_per_year,760000000.0,772000000.0,784000000.0,798000000.0,812000000.0,826000000.0,840000000.0,854000000.0,868000000.0,882000000.0,896000000.0,
demand,freight_tonne_km_demand,France,,long,,,,,tkm_per_year,1740000000.0,1775000000.0,1810000000.0,1848000000.0,1886000000.0,1924000000.0,1962000000.0,2000000000.0,2038000000.0,2076000000.0,2114000000.0,
market,operator_market_share,Germany,Lufthansa Cargo,medium,,,,,share,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
market,operator_market_share,Germany,Lufthansa Cargo,long,,,,,share,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
market,operator_market_share,France,Air France Cargo,medium,,,,,share,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
market,operator_market_share,France,Air France Cargo,long,,,,,share,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
operations,load_factor,,Lufthansa Cargo,,,,,,share,0.69,0.7,0.71,0.71,0.72,0.72,0.73,0.73,0.74,0.74,0.75,
operations,load_factor,,Air France Cargo,,,,,,share,0.67,0.68,0.69,0.69,0.7,0.7,0.71,0.71,0.72,0.72,0.73,
operations,freight_rate,,Lufthansa Cargo,,,,,,eur_per_tonne_km,0.145,0.146,0.147,0.148,0.149,0.15,0.151,0.152,0.153,0.154,0.155,
operations,freight_rate,,Air France Cargo,,,,,,eur_per_tonne_km,0.143,0.144,0.145,0.146,0.147,0.148,0.149,0.15,0.151,0.152,0.153,
delivery,planned_delivery_count,Germany,Lufthansa Cargo,long,drop_in_saf_freight_long,,,,count,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
delivery,planned_delivery_count,France,Air France Cargo,medium,drop_in_saf_freight_medium,,,,count,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
price,primary_energy_price,Germany,,,,kerosene,,,eur_per_kwh,0.042169,0.042169,0.042169,0.042169,0.042169,0.042169,0.042169,0.042169,0.042169,0.042169,0.041465,aktuellepolitiken
price,primary_energy_price,Germany,,,,hydrogen,,,eur_per_kwh,0.05662,0.05662,0.05662,0.05662,0.05662,0.05662,0.05662,0.05662,0.05662,0.05662,0.040758,aktuellepolitiken
price,secondary_energy_price,Germany,,,,,saf,hefa,eur_per_kwh,0.042169,0.042169,0.042169,0.042169,0.042169,0.042169,0.042169,0.042169,0.042169,0.042169,0.041465,aktuellepolitiken
price,primary_energy_price,Germany,,,,kerosene,,,eur_per_kwh,0.085729,0.085729,0.085729,0.085729,0.085729,0.085729,0.085729,0.085729,0.085729,0.085729,0.174221,fokusstrom
price,primary_energy_price,Germany,,,,hydrogen,,,eur_per_kwh,0.085487,0.085487,0.085487,0.085487,0.085487,0.085487,0.085487,0.085487,0.085487,0.085487,0.110547,fokusstrom
price,secondary_energy_price,Germany,,,,,saf,hefa,eur_per_kwh,0.085729,0.085729,0.085729,0.085729,0.085729,0.085729,0.085729,0.085729,0.085729,0.085729,0.174221,fokusstrom
price,primary_energy_price,Germany,,,,kerosene,,,eur_per_kwh,0.086861,0.086861,0.086861,0.086861,0.086861,0.086861,0.086861,0.086861,0.086861,0.086861,0.176213,fokusH2
price,primary_energy_price,Germany,,,,hydrogen,,,eur_per_kwh,0.087525,0.087525,0.087525,0.087525,0.087525,0.087525,0.087525,0.087525,0.087525,0.087525,0.112327,fokusH2
price,secondary_energy_price,Germany,,,,,saf,hefa,eur_per_kwh,0.086861,0.086861,0.086861,0.086861,0.086861,0.086861,0.086861,0.086861,0.086861,0.086861,0.176213,fokusH2
price,primary_energy_price,Germany,,,,kerosene,,,eur_per_kwh,0.086369,0.086369,0.086369,0.086369,0.086369,0.086369,0.086369,0.086369,0.086369,0.086369,0.175376,technologiemix
price,primary_energy_price,Germany,,,,hydrogen,,,eur_per_kwh,0.086213,0.086213,0.086213,0.086213,0.086213,0.086213,0.086213,0.086213,0.086213,0.086213,0.111666,technologiemix
price,secondary_energy_price,Germany,,,,,saf,hefa,eur_per_kwh,0.086369,0.086369,0.086369,0.086369,0.086369,0.086369,0.086369,0.086369,0.086369,0.086369,0.175376,technologiemix
price,primary_energy_price,Germany,,,,kerosene,,,eur_per_kwh,0.089004,0.089004,0.089004,0.089004,0.089004,0.089004,0.089004,0.089004,0.089004,0.089004,0.178227,hohenachfrage
price,primary_energy_price,Germany,,,,hydrogen,,,eur_per_kwh,0.088856,0.088856,0.088856,0.088856,0.088856,0.088856,0.088856,0.088856,0.088856,0.088856,0.112558,hohenachfrage
price,secondary_energy_price,Germany,,,,,saf,hefa,eur_per_kwh,0.089004,0.089004,0.089004,0.089004,0.089004,0.089004,0.089004,0.089004,0.089004,0.089004,0.178227,hohenachfrage
price,primary_energy_price,Germany,,,,kerosene,,,eur_per_kwh,0.079572,0.079572,0.079572,0.079572,0.079572,0.079572,0.079572,0.079572,0.079572,0.079572,0.167073,niedrigenachfrage
price,primary_energy_price,Germany,,,,hydrogen,,,eur_per_kwh,0.079207,0.079207,0.079207,0.079207,0.079207,0.079207,0.079207,0.079207,0.079207,0.079207,0.110128,niedrigenachfrage
price,secondary_energy_price,Germany,,,,,saf,hefa,eur_per_kwh,0.079572,0.079572,0.079572,0.079572,0.079572,0.079572,0.079572,0.079572,0.079572,0.079572,0.167073,niedrigenachfrage
