raw_aircraft_type,openap_type,year,number_of_trips,total_distance_km,total_fuel_kg,total_energy_mwh,total_co2_kg,total_nox_kg,average_flight_distance_km,average_fuel_kg_per_flight,fuel_kg_per_km,energy_mwh_per_km,co2_kg_per_km
A339,A333,2025,1595,12389024.429190293,84433244.83393963,1008508.2021831677,266809053.67524922,0.0,7767.413435229024,52936.2036576424,6.815164932196192,0.08140335891234339,21.535921185739966
A339,A333,2026,2711,20960233.37226884,142950489.88518927,1707464.1847397608,451723548.0371981,0.0,7731.550487742103,52729.80076915871,6.820081024208347,0.08146207890026638,21.55145603649838
A343,A343,2025,1193,7898984.149117804,74108808.0842915,885188.5410068152,234183833.54636118,0.0,6621.109932202686,62119.70501617058,9.382068210957016,0.11206359251976436,29.647335546624173
A343,A343,2026,1625,10999753.455192318,102855896.64604488,1228556.5432722028,325024633.40150183,0.0,6769.079049349119,63295.93639756608,9.350745638530002,0.1116894617935528,29.548356217754804
A346,A343,2025,262,1642327.4013079053,15556226.710834289,185810.48571274287,49157676.40623635,0.0,6268.4251958317,59374.91111005454,9.472061842508216,0.11313851645218145,29.93171542232596
A346,A343,2026,813,5186923.748558282,49430243.862753525,590416.8016940005,156199570.60630116,0.0,6379.980010526792,60799.80794926633,9.529780320463123,0.11382793160553176,30.11410581266347
A359,A359,2025,3663,28759009.593925547,258092131.42712843,3082767.1253795894,815571135.3097259,0.0,7851.2174703591445,70459.2223388284,8.974305272377753,0.10719309075340094,28.3588046607137
A359,A359,2026,6164,48922799.55490804,437936192.7130791,5230904.524072889,1383878368.97333,0.0,7936.859110140824,71047.4031007591,8.951576702424104,0.1069216106122879,28.28698237966017
A388,A388,2025,966,7519062.505303344,121997293.32939303,1457189.8925455278,385511446.9208819,0.0,7783.708597622509,126291.19392276711,16.225067053684675,0.1937994120301225,51.27121188964357
A388,A388,2026,1450,10770186.348465286,175678177.73641786,2098378.23407388,555143041.6470804,0.0,7427.714723079508,121157.36395615025,16.311526286771386,0.19483211953643603,51.54442306619758
B38M,B38M,2025,689,1200031.5566593918,3624933.6222831635,43297.81826616001,11454790.246414797,0.0,1741.7003725100026,5261.151846564823,3.020698582605722,0.03608056640334613,9.545407521034083
B38M,B38M,2026,1821,3332016.9183494304,9990173.434320169,119327.071576602,31568948.052451733,0.0,1829.7731566993027,5486.091946359236,2.9982361071770804,0.035812264613504015,9.474426098679574
B738,B738,2025,2098,4053901.528079242,14719926.585746685,175821.34532975208,46514968.01095953,0.0,1932.2695558051678,7016.170917896418,3.6310518358153256,0.04337089692779417,11.474123801176429
B738,B738,2026,3882,7331344.895032372,26684481.41335202,318731.3057705936,84322961.26619238,0.0,1888.548401605454,6873.90041559815,3.6397798487741437,0.043475148193691165,11.501704322126294
B744,B744,2025,458,3289928.1410517353,48149124.475149386,575114.5423420621,152151233.34147206,0.0,7183.249216270165,105129.09274050084,14.635311900689999,0.17481066992490832,46.247585606180394
B744,B744,2026,1141,8837553.64087651,126735661.9465214,1513787.0732501165,400484691.7510077,0.0,7745.4457851678435,111074.19977784522,14.34058191854457,0.17129028402706012,45.31623886260085
B748,B748,2025,1882,15670565.510449024,222035048.18415582,2652085.2977551944,701630752.2619325,0.0,8326.54915539268,117978.24026788301,14.168923772157706,0.1692399228341059,44.77379912001835
B748,B748,2026,2635,22717139.80469097,319518277.21797144,3816468.311214659,1009677756.0087898,0.0,8618.03482727275,121213.30698709084,14.065075091539148,0.1679995080378287,44.44563728926371
B752,B752,2025,410,359308.3437966611,2415430.91790674,28850.98040833051,7632761.700585299,0.0,876.3618141381978,5891.2949217237565,6.7224459426237955,0.0802958820924509,21.242929178691192
B752,B752,2026,483,424674.80766655103,2898580.6491090907,34621.93553102525,9159514.851184728,0.0,879.243908212321,6001.202172068511,6.82541228436846,0.08152575784106772,21.568302818604337
B77L,B77W,2025,4793,27660197.469705544,346810017.6722082,4142452.9888624875,1095919655.8441782,0.0,5768.5500458197175,72327.42808596625,12.538233613554175,0.1497622348285638,39.620818218831204
B77L,B77W,2026,7826,46807623.299471825,579015910.4895731,6916023.375292124,1829690277.1470513,0.0,5977.985095717985,73948.39214426221,12.370119858149403,0.14775420941678455,39.08957875175212
B789,B789,2025,729,4051189.500466614,33056787.78266422,394844.96518182266,104459449.39321895,0.0,5557.187243438428,45345.38790488919,8.159773266310243,0.09746395845870567,25.78488352154037
B789,B789,2026,2621,15389832.535603147,125564115.59915529,1499793.6029899104,396782605.2933307,0.0,5871.740761389983,47906.949866140894,8.15890070984676,0.09745353625650298,25.782126243115766
E145,E145,2025,158,122235.54285748606,91961.83713725803,1098.4330546950266,290599.4053537354,0.0,773.6426763132029,582.0369439066964,0.7523330365904782,0.008986200159275159,2.3773723956259114
E145,E145,2026,274,233865.43106695378,175699.0272571142,2098.627270015531,555208.926132481,0.0,853.5234710472765,641.2373257558913,0.7512825921109008,0.00897365318354687,2.3740529910704464
E190,E190,2025,4861,2394232.4655549126,8948551.22467557,106885.47296140264,28277421.869974803,0.0,492.5390795216854,1840.8869007767064,3.737544851394185,0.044642896836097214,11.810641730405626
E190,E190,2026,8023,4063882.11636788,15168975.412155202,181184.98408963156,47933962.30241044,0.0,506.52899368912875,1890.6862036838093,3.732631749100185,0.04458421255869665,11.795116327156586
